,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10
sample_22,0.01667907774235584,0.01666666667390908,0.3883371657443067,0.01666782441980727,0.016666666680180704,0.016666666682094836,0.4783151101075926,0.01666748858725388,0.016666666677819946,0.016666666684678994
sample_23,0.020000000003367043,0.020000000002911394,0.8199975037705961,0.02000074354221479,0.02000000000543617,0.02000000000619975,0.02000085822954065,0.02000000000520551,0.02000089442729108,0.020000000007237447
sample_24,0.00625000000807446,0.06874889146120554,0.006250139626488978,0.006250000012986076,0.08450678238609292,0.006250305373463138,0.5353102848035884,0.27393359629998343,0.006250000010763416,0.006250000017353719
sample_25,0.03333333335573853,0.033333333352717466,0.6999649719571289,0.033333333369367,0.03333333336952045,0.03336836112967119,0.03333333335296252,0.033333333368201754,0.03333333336319738,0.03333333338149492
sample_26,0.01428571429126347,0.15714285384272056,0.014287779522994207,0.014285714294594187,0.44285103436149903,0.01428571429589873,0.014289045048678756,0.014286973359123158,0.2999994566856401,0.014285714297587777
sample_27,0.05000000000273054,0.05000000000133048,0.05000764248144373,0.05000150300135455,0.050006670075171844,0.050000000002819775,0.05000616594495299,0.05000000000236853,0.5499780184845393,0.050000000003288185
sample_28,0.025004737755249137,0.025000000016780977,0.025000000012705734,0.025000000031160426,0.2750005258122792,0.02500000003576388,0.025001223261859357,0.5249935130066845,0.025000000025816288,0.025000000041700353
sample_29,0.0020408297972416096,0.02262960562814205,0.5143154156602405,0.04527503932741105,0.36323418595478574,0.0020408594919995434,0.002040859911761311,0.0020408163282127135,0.00204108201782644,0.04434130588237902
sample_30,0.05000000001086818,0.05000000000202294,0.05000577364239842,0.050000000003761896,0.549994226159181,0.0500000000043046,0.050000000165713036,0.0500000000036134,0.05000000000311213,0.05000000000502432
sample_31,0.008333885516297488,0.008333385389628165,0.33448135456684697,0.09884961544689734,0.09166680217325907,0.008333333344550381,0.008333333338653265,0.00833333334274293,0.4250016235347212,0.008333333346403
sample_32,0.011111111116651773,0.011111111112205635,0.626369415041734,0.011111951269812938,0.17362956915120406,0.011111111113440092,0.011111343359559413,0.1222201029095001,0.011113173812063688,0.01111111111382831
sample_33,0.009091471647142852,0.009090909098599134,0.9181767477366584,0.009094480122597203,0.009090909105215006,0.009090909107244494,0.009091055655099935,0.009091546608612056,0.009091061808857397,0.009090909109973582
sample_35,0.0031250267515995126,0.06574363195088458,0.0031252021195151978,0.0031250492193144216,0.00312557726429287,0.0031250028025801286,0.08129510219090216,0.00312500031756455,0.8310853455407449,0.0031250618426018183
sample_36,0.014285714291840886,0.014285714470396938,0.8714187286605105,0.014286273065292525,0.014287666257975846,0.014286433198677655,0.01428837285849352,0.014286180888180266,0.01428920200975215,0.014285714298879757
sample_37,0.03333333336707976,0.3666660567634088,0.033333333355487764,0.03333333338756915,0.033333333387970156,0.033333333396019876,0.033333333362983504,0.03333333338552329,0.36666727618804035,0.03333333340591732
sample_38,0.11109446389889482,0.010000000006821452,0.18229744044415236,0.536605754753012,0.01000000001272565,0.010000000014524942,0.010000000006998348,0.10999967866406045,0.010002662181852364,0.01000000001695777
sample_39,0.033333333341743716,0.03333496599344032,0.03333333333884419,0.69999836724725,0.03333333334691193,0.03333333334882502,0.033333333340689324,0.033333333346348755,0.033333333344544275,0.0333333333514027
sample_40,0.27499420050876655,0.02500000001423243,0.025006282769000937,0.025000000026439935,0.02500000002653917,0.5249983553113449,0.025001161260978677,0.02500000002543044,0.02500000002191066,0.025000000035356237
sample_41,0.033333333346186066,0.03333333334444916,0.3666568660108006,0.03333333335399515,0.03334294400379321,0.03333333335700269,0.03333623218085766,0.033333333353225233,0.366663957688725,0.03333333336096519
sample_42,0.0032259051683828574,0.003225807646735654,0.45015282995586897,0.003227252045421646,0.00322643378644685,0.0032258064557674263,0.4106270877470803,0.003225828897533029,0.11663718842185294,0.0032258598749104685
sample_43,0.008333333338918258,0.008333333338094235,0.008335993335360774,0.16650576345393828,0.00833333334218516,0.008333694594058548,0.22673046754312778,0.00833333334179975,0.00833532712993831,0.5484254205825789
sample_44,0.05000000000134691,0.050000000001164405,0.05000000000088308,0.05000000000219097,0.5499999999839857,0.05000000000248006,0.05000000000117807,0.05000000000208351,0.05000000000179347,0.050000000002893744
sample_46,0.578590333219462,0.007142995163004448,0.19475238168609585,0.0876047566640511,0.09619127698983419,0.007143888102029559,0.007143777027574417,0.00714285715730026,0.007144876827706131,0.007142857162942021
sample_47,0.016666666674098562,0.01666666667309266,0.01666805100547445,0.016666666678617995,0.3367453563657048,0.19901802509132024,0.19658821023092776,0.016666666678158155,0.1676470239199584,0.01666666668264685
sample_48,0.014285715886531524,0.014285714288415541,0.014285714287746104,0.16358741099812424,0.01428571429071488,0.15714279759828814,0.014286085478029849,0.014285714290563453,0.5792694185890287,0.014285714292557575
sample_49,0.005555555561546535,0.29091961952925366,0.22291576938726765,0.005555808901295364,0.258695036325398,0.005555712904160387,0.1385779142051548,0.005555722965242162,0.005557722862007114,0.06111113735867439
sample_50,0.011111111121516182,0.011111111119305192,0.6448482301978807,0.01111111112634272,0.01111357521236133,0.011111433829797708,0.15514464461783087,0.12222243677315399,0.011115234870328205,0.011111111131483132
sample_53,0.025000000004341886,0.02500000023520905,0.025000977384775924,0.02500000000697958,0.025000977684891155,0.025000715937630386,0.025000000003800957,0.025000006130067372,0.7749973226029634,0.025000000009340384
sample_54,0.020000000007599987,0.020000000006579068,0.6199910611644968,0.21999966917344946,0.02000926958902783,0.02000000001398899,0.020000000006660485,0.02000000001175443,0.02000000001011942,0.020000000016323623
sample_55,0.13803026813989283,0.012500000006941127,0.4212261125647975,0.012500000012927085,0.01250208343639877,0.13737993632758924,0.2283545835502875,0.012503714583705697,0.012503301360220927,0.012500000017239167
sample_56,0.09130392769990735,0.0043478739955840635,0.004348159336929011,0.04822255032809161,0.00434790470966507,0.004348611237817325,0.7860344784584598,0.04835057247000544,0.004348095666284505,0.004347826097255918
sample_57,0.012500049700833986,0.3875002748581744,0.012501605792273548,0.012500000009287977,0.012500000009331937,0.0125000000106494,0.3555379422688436,0.012500073210129784,0.16946005412804302,0.012500000012432436
sample_58,0.016666666684091978,0.016666666681740536,0.01666817760238791,0.18333186939069643,0.01666666669477544,0.0166672801236801,0.01666666668260792,0.35000083685179983,0.1833313495503684,0.18333381973785157
sample_59,0.0500000000560801,0.050000000048484074,0.5499999992803164,0.05000000009018907,0.05000000009073835,0.05000000010327082,0.050000000049083934,0.05000000008668514,0.050000000074642455,0.050000000120509716
sample_60,0.05000000002458977,0.05000000002126549,0.050000000016105405,0.05000000003952213,0.050000000039671325,0.050000000045293314,0.5499999996899011,0.05000000003802725,0.050000000032752456,0.0500000000528718
sample_62,0.050005977836702305,0.050000000020137374,0.5499940218879215,0.0500000000374947,0.05000000003755389,0.05000000004284301,0.05000000002034864,0.05000000003600843,0.05000000003098993,0.05000000005000041
sample_63,0.0055562541398512045,0.005555573929729017,0.2743262462652752,0.005555614181106961,0.06344204610583902,0.005555555558969922,0.005556533402953048,0.6233410652987144,0.005555555558023444,0.005555555559537816
sample_64,0.18333306030233618,0.01666666668994248,0.3499950765628597,0.01666666670993972,0.01666666671011028,0.18333324217837546,0.016671726754966625,0.016666666708734183,0.1833335606582443,0.016666666724491155
sample_65,0.025000000020074895,0.025000000017380366,0.025000000013173155,0.27500064738939506,0.025010612463985678,0.025000000036995214,0.5249887399579725,0.025000000031065353,0.025000000026786373,0.02500000004317143
sample_66,0.0062500156967837854,0.006250061434256258,0.19720567939058642,0.0062503209758094655,0.7527937406907721,0.006250159966229224,0.006250000013166002,0.006250000003185842,0.006250021824793183,0.006250000004417736
sample_67,0.020000000008976768,0.02000000000776171,0.020009145859721376,0.020000000014428355,0.020000000014474658,0.02000000001653518,0.8199810888234504,0.020000000013879648,0.020009765221454506,0.020000000019317406
sample_68,0.05000000001513802,0.050000000013091704,0.050000000009923266,0.050000000024326176,0.050000000024436504,0.5499999998237263,0.05000000001324145,0.05000000002340082,0.05000000002015925,0.05000000003255654
sample_69,0.016666666672793533,0.016666666671971326,0.4856675525190718,0.01666738393567309,0.016666666676537704,0.016666666677937564,0.016666666672023246,0.38099839681934283,0.01666666667482244,0.016666666679826386
sample_70,0.01111111136477458,0.011111111123485623,0.011119167957574814,0.8999891627265924,0.011113710005924546,0.011111140135334086,0.011111111123635586,0.011111111133234897,0.01111126328756542,0.01111111114187798
sample_71,0.03333348637845363,0.03333333333802657,0.03333333333689001,0.033333333342055925,0.699999846895862,0.03333333334333132,0.03333333333808252,0.033333333341729346,0.03333333334056352,0.03333333334500499
sample_72,0.623398989677257,0.07180436156751842,0.009095080733582136,0.009090909106658392,0.009090909106695967,0.00909389880600042,0.24115078313029806,0.00909324965610499,0.009090909103944174,0.009090909111940292
sample_73,0.0066666706149005545,0.15744466901753842,0.7892180473506185,0.0066667880695770575,0.006667238881253183,0.006667689192582795,0.006668168305729621,0.006667092451681689,0.0066669694365778034,0.006666666679540144
sample_74,0.17220968879695306,0.014285812428710638,0.15714093787054448,0.014285714306211204,0.014285714306268503,0.014287582217512052,0.5706469058175938,0.014285714305413507,0.014286215637672944,0.014285714313119912
sample_75,0.2749999467550909,0.0250016364611643,0.025000000004126586,0.2749997610305244,0.2749920154292273,0.02500000001159931,0.02500197875400293,0.025000000009738493,0.025004338999585,0.02500032254494085
sample_76,0.05000000003479551,0.050000000030103124,0.05000000002282171,0.05000000005593085,0.05000000005625509,0.050000000064171136,0.5499999995609611,0.05000000005379858,0.0500000000463488,0.05000000007481422
